Default channel group,Year,Day,Sessions
Organic Search,2024,3,21912
Organic Search,2024,2,21566
Organic Search,2024,29,20701
Organic Search,2024,22,20450
Organic Search,2024,1,20080
Organic Search,2024,5,20044
Organic Search,2024,23,19746
Organic Search,2024,12,19606
Organic Search,2024,13,19454
Organic Search,2024,6,19430
Organic Search,2024,9,19343
Organic Search,2024,19,19329
Organic Search,2024,20,19197
Organic Search,2024,8,19188
Organic Search,2024,27,19166
Organic Search,2024,10,19161
Organic Search,2024,24,18920
Organic Search,2024,15,18890
Organic Search,2024,18,18692
Organic Search,2024,26,18689
Organic Search,2024,16,18647
Organic Search,2024,17,18242
Organic Search,2024,30,17836
Organic Search,2024,4,17811
Organic Search,2024,11,17725
Organic Search,2024,7,17398
Organic Search,2024,28,17389
Organic Search,2024,21,17283
Organic Search,2024,25,17241
Organic Search,2024,14,17148
Organic Search,2024,31,10701
Organic Search,2025,22,10214
Organic Search,2025,3,10137
Organic Search,2025,1,10000
Organic Search,2025,2,9888
Organic Search,2025,28,9868
Organic Search,2025,24,9754
Organic Search,2025,21,9699
Organic Search,2025,8,9643
Organic Search,2025,17,9558
Organic Search,2025,25,9504
Organic Search,2025,7,9501
Organic Search,2025,18,9443
Organic Search,2025,6,9415
Organic Search,2025,29,9372
Organic Search,2025,20,9348
Organic Search,2025,11,9254
Organic Search,2025,19,9237
Organic Search,2025,26,9217
Organic Search,2025,15,9183
Organic Search,2025,10,9164
Organic Search,2025,5,9090
Organic Search,2025,14,9089
Organic Search,2025,23,9032
Organic Search,2025,16,9014
Organic Search,2025,13,9005
Organic Search,2025,4,8893
Organic Search,2025,12,8821
Organic Search,2025,27,8788
Organic Search,2025,9,8702
Organic Search,2025,30,8679
Paid Search,2024,3,8321
Paid Search,2024,13,8097
Paid Search,2024,29,7981
Paid Search,2024,27,7873
Paid Search,2024,5,7843
Paid Search,2024,23,7794
Paid Search,2024,12,7793
Paid Search,2024,22,7787
Paid Search,2024,20,7780
Paid Search,2024,8,7755
Paid Search,2024,19,7755
Paid Search,2024,2,7749
Paid Search,2024,16,7681
Paid Search,2024,9,7642
Paid Search,2024,10,7565
Paid Search,2024,11,7555
Paid Search,2024,15,7541
Paid Search,2024,18,7536
Paid Search,2024,6,7496
